Year,state_id,Production_Loss(ton),Area_Loss(km^2),State_Code,State_Name,Price,Financial_Loss($)
2042,12,464387.7924899829,14789.828957615357,ID,IDAHO,0.09464572,43952316.97942503
2042,13,100805.98474141996,1509.518088949592,IL,ILLINOIS,0.09464572,9540855.006160706
2042,14,11068.258867869108,497.0519881481405,IN,INDIANA,0.09464572,1047563.3296958567
2042,15,2073.080132796932,13.10456297024066,IA,IOWA,0.09464572,196208.16178626125
2042,16,15189705.77007658,75929.69381168656,KS,KANSAS,0.09464572,1437640639.1970525
2042,17,20230.13725152914,409.7635382114836,KY,KENTUCKY,0.09464572,1914695.9058697969
2042,18,80665.81802254595,771.2768225395721,LA,LOUISIANA,0.09464572,7634674.426132837
2042,19,0.0,0.0,ME,MAINE,0.09464572,0.0
2042,20,33025.93403199002,381.7826506329093,MD,MARYLAND,0.09464572,3125763.3051301986
2042,21,0.0,0.0,MA,MASSACHUSETTS,0.09464572,0.0
2042,22,42834.67566612813,351.06949837947326,MI,MICHIGAN,0.09464572,4054118.7193871764
2042,23,2173878.841133063,8820.382285077825,MN,MINNESOTA,0.09464572,205748328.1118044
2042,24,32455.160869765008,307.37084383949724,MS,MISSISSIPPI,0.09464572,3071742.0682347356
2042,25,205545.30639208012,2207.1062810789,MO,MISSOURI,0.09464572,19453983.51609903
2042,26,10872071.341015412,68443.99784073594,MT,MONTANA,0.09464572,1028995019.9617692
2042,27,4331871.21070197,19083.906596030232,NE,NEBRASKA,0.09464572,409993069.6841597
2042,28,12961.2760992294,2036.209363056652,NV,NEVADA,0.09464572,1226729.3085303581
2042,29,0.0,0.0,NH,NEW HAMPSHIRE,0.09464572,0.0
2042,30,3964.7085246904426,119.8447065162148,NJ,NEW JERSEY,0.09464572,375242.69290946476
2042,31,152843.0421818435,3528.994941923462,NM,NEW MEXICO,0.09464572,14465939.774290951
2042,32,523.2143481603445,4.877712403515691,NY,NEW YORK,0.09464572,49519.99869596648
2042,33,178016.88260660376,1622.915324073086,NC,NORTH CAROLINA,0.09464572,16848536.026457492
2042,34,8682989.773264498,32043.576855270585,ND,NORTH DAKOTA,0.09464572,821807818.8432552
2042,35,90965.70330848722,1736.505241693286,OH,OHIO,0.09464572,8609514.484938156
2042,36,6262629.011904175,44289.26487048678,OK,OKLAHOMA,0.09464572,592731031.9245594
2042,37,3961958.113788996,20090.01630867386,OR,OREGON,0.09464572,374982378.2894014
2042,38,3202.7990914338548,173.85045987274694,PA,PENNSYLVANIA,0.09464572,303131.226024103
2042,39,0.0,0.0,RI,RHODE ISLAND,0.09464572,0.0
2042,40,46325.47698148374,594.8786741615493,SC,SOUTH CAROLINA,0.09464572,4384508.123255956
2042,41,5343725.674260136,22579.665522370167,SD,SOUTH DAKOTA,0.09464572,505760763.922836
2042,42,57356.8525967142,429.7529832852746,TN,TENNESSEE,0.09464572,5428580.610949885
2042,43,3467472.970370291,24276.8403045822,TX,TEXAS,0.09464572,328181475.86123484
2042,44,28443.044330918216,3621.716706929472,UT,UTAH,0.09464572,2692012.409691673
2042,45,11.438801222333518,0.4320797718192316,VT,VERMONT,0.09464572,1082.633577624636
2042,46,40086.165591601966,350.9120795896739,VA,VIRGINIA,0.09464572,3793984.0044563944
2042,47,2529019.8862741888,25299.36139133727,WA,WASHINGTON,0.09464572,239360908.03073874
2042,48,135.92359982614735,18.337858890800792,WV,WEST VIRGINIA,0.09464572,12864.58697053759
2042,49,16654.250434287787,152.4775434658102,WI,WISCONSIN,0.09464572,1576253.5234134803
2042,50,677181.5286575907,7353.7729510991485,WY,WYOMING,0.09464572,64092333.35049831
2043,0,0.0,0.0,AL,ALABAMA,0.09599648,0.0
2043,2,0.0,0.0,AZ,ARIZONA,0.09599648,0.0
2043,3,114802.3964389788,1603.0518578705596,AR,ARKANSAS,0.09599648,11020625.9537065
2043,4,19138.620602482213,1022.798448105014,CA,CALIFORNIA,0.09599648,1837240.2098937717
2043,5,1111642.4258003747,27630.151559291397,CO,COLORADO,0.09599648,106713759.89549716
2043,6,0.0,0.0,CT,CONNECTICUT,0.09599648,0.0
2043,7,0.0,0.0,DE,DELAWARE,0.09599648,0.0
2043,8,0.0,0.0,DC,DISTRICT OF COLUMBIA,0.09599648,0.0
2043,9,0.0,0.0,FL,FLORIDA,0.09599648,0.0
